"Symbol","Company Name","Sector","Industry"
"A","Agilent Technologies Inc","Health Care","Life Sciences Tools & Services"
"AA","Alcoa Corp","Materials","Metals & Mining"
"AACG","ATA Creativity Global(ADR)","Consumer Discretionary","Diversified Consumer Services"
"AAL","American Airlines Group Inc","Industrials","Airlines"
"AAMC","Altisource Asset Management Corp","Real Estate","Real Estate Management & Development"
"AAME","Atlantic American Corporation","Financials","Insurance"
"AAN","Aaron's, Inc.","Consumer Discretionary","Specialty Retail"
"AAOI","Applied Optoelectronics Inc","Information Technology","Communications Equipment"
"AAON","AAON, Inc.","Industrials","Building Products"
"AAP","Advance Auto Parts, Inc.","Consumer Discretionary","Specialty Retail"
"AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals"
"AAT","American Assets Trust, Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Air Freight & Logistics"
"AAXN","Axon Enterprise Inc","Industrials","Aerospace & Defense"
"AB","Alliancebernstein Holding LP","Financials","Capital Markets"
"ABB","ABB Ltd (ADR)","Industrials","Electrical Equipment"
"ABBV","AbbVie Inc","Health Care","Biotechnology"
"ABC","AmerisourceBergen Corp.","Health Care","Health Care Providers & Services"
"ABCB","Ameris Bancorp","Financials","Banks"
"ABEO","Abeona Therapeutics Inc","Health Care","Biotechnology"
"ABG","Asbury Automotive Group, Inc.","Consumer Discretionary","Specialty Retail"
"ABIO","Arca Biopharma Inc","Health Care","Biotechnology"
"ABM","ABM Industries, Inc.","Industrials","Commercial Services & Supplies"
"ABMD","ABIOMED, Inc.","Health Care","Health Care Equipment & Supplies"
"ABR","Arbor Realty Trust Inc","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ABR-A","Arbor Realty Trust Inc","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ABR-B","Arbor Realty Trust Inc","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ABR-C","Arbor Realty Trust Inc","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ABT","Abbott Laboratories","Health Care","Health Care Equipment & Supplies"
"ABTX","Allegiance Bancshares Inc","Financials","Banks"
"ABUS","Arbutus Biopharma Corp","Health Care","Biotechnology"
"AC","Associated Capital Group Inc","Financials","Capital Markets"
"ACA","Alda Capital Corp","Industrials","Construction & Engineering"
"ACAD","ACADIA Pharmaceuticals Inc.","Health Care","Biotechnology"
"ACAM","Acamar Partners Acquisition Corp","",""
"ACBI","Atlantic Capital Bancshares Inc","Financials","Banks"
"ACC","American Campus Communities, Inc.","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"ACCD","Accolade Inc","",""
"ACCO","ACCO Brands Corporation","Industrials","Commercial Services & Supplies"
"ACEL","Accel Entertainment Inc","",""
"ACER","Acer Therapeutics Inc","Health Care","Pharmaceuticals"
"ACGL","Arch Capital Group Ltd.","Financials","Insurance"
"ACH","Aluminum Corp. of China Limited (ADR)","Materials","Metals & Mining"
"ACHC","Acadia Healthcare Company Inc","Health Care","Health Care Providers & Services"
"ACHV","Achieve Life Sciences Inc","Health Care","Biotechnology"
"ACIA","Acacia Communications, Inc.","Information Technology","Communications Equipment"
"ACIU","AC Immune SA","Health Care","Biotechnology"
"ACIW","ACI Worldwide Inc","Information Technology","Software"
"ACLS","Axcelis Technologies Inc","Information Technology","Semiconductors & Semiconductor Equipment"
"ACM","Aecom","Industrials","Construction & Engineering"
"ACMR","ACM Research Inc","Information Technology","Semiconductors & Semiconductor Equipment"
"ACN","Accenture Plc","Information Technology","IT Services"
"ACNB","ACNB Corporation","Financials","Banks"
"ACOR","Acorda Therapeutics Inc","Health Care","Biotechnology"
"ACP","Aberdeen Income Credit Strategies Fund","",""
"ACRE","Ares Commercial Real Estate Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ACRS","Aclaris Therapeutics Inc","Health Care","Pharmaceuticals"
"ACRX","AcelRx Pharmaceuticals Inc","Health Care","Pharmaceuticals"
"ACTG","Acacia Research Corp","Industrials","Professional Services"
"ACTT","Act II Global Acquisition Corp","",""
"ACU","Acme United Corporation","Industrials","Commercial Services & Supplies"
"ACV","Allianzgi Diversified Incm and Cnvrtb Fd","",""
"ACY","AeroCentury Corp.","Industrials","Trading Companies & Distributors"
"ADAP","Adaptimmune Therapeutics PLC - ADR","Health Care","Biotechnology"
"ADBE","Adobe Inc","Information Technology","Software"
"ADC","Agree Realty Corporation","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"ADCT","ADC Therapeutics SA","Health Care","Biotechnology"
"ADES","Advanced Emissions Solutions Inc","Materials","Chemicals"
"ADI","Analog Devices, Inc.","Information Technology","Semiconductors & Semiconductor Equipment"
"ADIL","Adial Pharmaceuticals Inc","Health Care","Pharmaceuticals"
"ADM","Archer Daniels Midland Co","Consumer Staples","Food Products"
"ADMA","ADMA Biologics Inc","Health Care","Biotechnology"
"ADMP","Adamis Pharmaceuticals Corp","Health Care","Pharmaceuticals"
"ADMS","Adamas Pharmaceuticals Inc","Health Care","Biotechnology"
"ADNT","Adient PLC","Consumer Discretionary","Auto Components"
"ADP","Automatic Data Processing","Information Technology","IT Services"
"ADPT","Adaptive Biotechnologies Corp","Health Care","Life Sciences Tools & Services"
"ADRO","Aduro BioTech Inc","Health Care","Biotechnology"
"ADS","Alliance Data Systems Corporation","Information Technology","IT Services"
"ADSK","Autodesk, Inc.","Information Technology","Software"
"ADSW","Advanced Disposal Services Inc","Industrials","Commercial Services & Supplies"
"ADT","ADT Inc","Industrials","Commercial Services & Supplies"
"ADTN","ADTRAN, Inc.","Information Technology","Communications Equipment"
"ADTX","ADiTx Therapeutics Inc","",""
"ADUS","Addus Homecare Corporation","Health Care","Health Care Providers & Services"
"ADVM","Adverum Biotechnologies Inc","Health Care","Biotechnology"
"ADX","Adams Diversified Equity Fund Inc","",""
"ADXS","Advaxis, Inc.","Health Care","Biotechnology"
"AE","Adams Resources & Energy Inc","Energy","Oil, Gas & Consumable Fuels"
"AEE","Ameren Corp","Utilities","Multi-Utilities"
"AEF","Aberdeen Emerging Mrkts Eqty Incm Fd Inc","",""
"AEG","AEGON N.V. (ADR)","Financials","Insurance"
"AEGN","Aegion Corp","Industrials","Construction & Engineering"
"AEHR","Aehr Test Systems","Information Technology","Semiconductors & Semiconductor Equipment"
"AEIS","Advanced Energy Industries, Inc.","Information Technology","Semiconductors & Semiconductor Equipment"
"AEL","American Equity Investment Life Holding","Financials","Insurance"
"AEMD","Aethlon Medical, Inc.","Health Care","Health Care Equipment & Supplies"
"AEO","American Eagle Outfitters Inc","Consumer Discretionary","Specialty Retail"
"AEP","American Electric Power Company Inc","Utilities","Electric Utilities"
"AER","AerCap Holdings N.V.","Industrials","Trading Companies & Distributors"
"AERI","Aerie Pharmaceuticals Inc","Health Care","Pharmaceuticals"
"AES","AES Corp","Utilities","Independent Power & Renewable Electricity Producers"
"AESE","Allied Esports Entertainment Inc","Consumer Discretionary","Hotels, Restaurants & Leisure"
"AEY","ADDvantage Technologies Group, Inc.","Information Technology","Electronic Equipment, Instruments & Components"
"AEYE","Audioeye  Inc","Information Technology","Software"
"AEZS","AEterna Zentaris Inc. (USA)","Health Care","Biotechnology"
"AFB","AllianceBernstein Natnl Muncpl Incm Fnd.","",""
"AFG","American Financial Group Inc","Financials","Insurance"
"AFH","Atlas Financial Holdings Inc","Financials","Insurance"
"AFI","Armstrong Flooring Inc","Industrials","Building Products"
"AFIN","American Finance Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AFL","AFLAC Incorporated","Financials","Insurance"
"AFMD","Affimed NV","Health Care","Biotechnology"
"AFT","Apollo Senior Floating Rate Fund Inc","",""
"AFYA","Afya Ltd","Consumer Discretionary","Diversified Consumer Services"
"AGBAU","AGBA Acquisition Ltd","",""
"AGCO","AGCO Corporation","Industrials","Machinery"
"AGD","Alpine Global Dynamic Dividend Fund","",""
"AGE","AgeX Therapeutics Inc","Health Care","Biotechnology"
"AGEN","Agenus Inc","Health Care","Biotechnology"
"AGFS","AgroFresh Solutions Inc","Materials","Chemicals"
"AGIO","Agios Pharmaceuticals Inc","Health Care","Biotechnology"
"AGLE","Aeglea Bio Therapeutics Inc","Health Care","Biotechnology"
"AGM","Federal Agricultural Mortgage Corp.","Financials","Thrifts & Mortgage Finance"
"AGM-A","Federal Agricultural Mortgage Corp","Financials","Thrifts & Mortgage Finance"
"AGM-C","Federal Agricultural Mortgage Corp","Financials","Thrifts & Mortgage Finance"
"AGM-D","Federal Agricultural Mortgage Corp","Financials","Thrifts & Mortgage Finance"
"AGM-E","Federal Agricultural Mortgage Corp","Financials","Thrifts & Mortgage Finance"
"AGM.A","FEDERAL AGRICULTURE MTG CP","Financials","Thrifts & Mortgage Finance"
"AGMH","AGM Group Holdings Inc","Financials","Capital Markets"
"AGNC","AGNC Investment Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"AGO","Assured Guaranty Ltd.","Financials","Insurance"
"AGR","Avangrid Inc","Utilities","Electric Utilities"
"AGRO","Adecoagro SA","Consumer Staples","Food Products"
"AGRX","Agile Therapeutics Inc","Health Care","Pharmaceuticals"
"AGS","Playags Inc","Consumer Discretionary","Hotels, Restaurants & Leisure"
"AGTC","Applied Genetic Technologies Corp","Health Care","Biotechnology"
"AGX","Argan, Inc.","Industrials","Construction & Engineering"
"AGYS","Agilysys, Inc.","Information Technology","Software"
"AHC","A. H. Belo Corp","Communication Services","Media"
"AHCO","Adapthealth Corp","Health Care","Health Care Providers & Services"
"AHH","Armada Hoffler Properties Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AHH-A","Armada Hoffler Properties Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AHL-C","Aspen Insurance Holdings Ltd","",""
"AHL-D","Aspen Insurance Holdings Ltd","",""
"AHPI","Allied Healthcare Products Inc","Health Care","Health Care Equipment & Supplies"
"AHT","Ashford Hospitality Trust, Inc.","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AHT-D","Ashford Hospitality Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AHT-F","Ashford Hospitality Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AHT-G","Ashford Hospitality Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"AHT-H","Ashford Hospitality Trust Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
